"district","total_ntd","land_area","main_building_material","building_area","num_room","num_hall","num_toilet","transaction_year","transaction_month","building_age"
"shihlin",27300000,36.92,"Reinforced concrete construction",138.13,4,2,2,2019,10,1943
"shihlin",16000000,32.25,"Reinforced concrete construction",90.11,4,3,2,2019,10,1960.071429
"shihlin",25000000,30.2,"Reinforced concrete construction",131.3,4,2,2,2019,10,1946.190476
"shihlin",20660000,28.84,"Reinforced concrete construction",105.09,4,2,1,2019,11,1947
"shihlin",16500000,39.69,"Reinforced concrete construction",114.28,4,2,2,2019,12,1960.071429
"shihlin",15700000,24,"Reinforced concrete construction",80.57,3,2,1,2019,10,1959
"shihlin",23200000,32.95,"Reinforced concrete construction",116.56,3,2,2,2019,10,1949
"shihlin",18800000,24.8,"Reinforced concrete construction",94.94,3,2,2,2019,10,1943
"shihlin",28900000,20.02,"Reinforced concrete construction",105.13,3,2,2,2019,10,1945
"shihlin",17200000,15.83,"Reinforced concrete construction",64.3,3,2,1,2019,9,1959
"shihlin",26800000,25.33,"Reinforced concrete construction",129.9,3,2,2,2019,10,1945
"shihlin",20500000,24.3,"Reinforced concrete construction",94.23,3,2,1,2019,10,1946.190476
"shihlin",19680000,27.27,"Reinforced concrete construction",87.24,3,2,1,2019,8,1947
"shihlin",10000000,11.11,"Reinforced concrete construction",73.61,3,2,2,2019,10,1936.9
"shihlin",17000000,45,"Reinforced concrete construction",104.46,3,2,2,2019,9,1960.071429
"shihlin",26000000,24.2,"Reinforced concrete construction",124.67,3,2,2,2019,10,1944
"shihlin",25500000,39.5,"Strengthen brickwork",111.17,3,2,2,2019,10,1961
"shihlin",29000000,46.25,"Strengthen brickwork",128.48,3,2,2,2019,10,1961
"shihlin",29000000,32.8,"Reinforced concrete construction",113.73,3,2,2,2019,8,1946
"shihlin",19300000,33.37,"Reinforced concrete construction",76.54,3,2,1,2019,10,1960.071429
"shihlin",18450000,29.2,"Reinforced concrete construction",100.4,3,2,2,2019,11,1946.190476
"shihlin",28300000,24.2,"Reinforced concrete construction",124.67,3,2,2,2019,10,1944
"shihlin",9000000,20.6,"Reinforced concrete construction",71.41,3,2,2,2019,10,1947
"shihlin",25750000,28.85,"Reinforced concrete construction",110.73,3,2,2,2019,11,1946.190476
"shihlin",22000000,11.08,"Reinforced concrete construction",77.63,3,2,2,2019,9,1940.777778
"shihlin",22280000,19.39,"Reinforced concrete construction",101.3,3,2,1,2019,10,1945
"shihlin",11130000,5.97,"Reinforced concrete construction",40.23,3,2,2,2019,11,1937
"shihlin",16680000,16.5,"Reinforced concrete construction",68.06,3,1,1,2019,10,1965
"shihlin",21660000,19.94,"Reinforced concrete construction",103.1,3,2,1,2019,10,1945
"shihlin",22000000,17.69,"Reinforced concrete construction",118.05,3,2,2,2019,11,1944
"shihlin",29000000,11.4,"Reinforced concrete construction",105.8,3,2,2,2019,10,1945
"shihlin",19480000,34.77,"Reinforced concrete construction",117.9,3,2,2,2019,11,1948
"shihlin",25980000,44.75,"Reinforced concrete construction",108.58,3,2,1,2019,11,1960.071429
"shihlin",21960000,37.25,"Strengthen brickwork",98.34,3,2,2,2019,9,1964
"shihlin",11560000,18.2,"Reinforced concrete construction",65.76,3,2,1,2019,11,1947
"shihlin",15000000,23.4,"Reinforced concrete construction",92.95,3,2,1,2019,10,1946.190476
"shihlin",18000000,30.25,"Reinforced concrete construction",81.04,3,1,1,2019,12,1960.071429
"shihlin",10000000,8.37,"Reinforced concrete construction",39.84,3,2,2,2019,12,1936.9
"shihlin",27000000,25.01,"Reinforced concrete construction",120.17,3,2,2,2019,10,1945
"shihlin",16680000,37.25,"Reinforced concrete construction",105.52,3,2,2,2019,10,1960.071429
"shihlin",20500000,35.5,"Reinforced concrete construction",96.42,3,2,1,2019,12,1959
"shihlin",15000000,30.25,"Reinforced concrete construction",86.09,3,2,1,2019,12,1960.071429
"shihlin",7740000,15.6,"Reinforced concrete construction",54.32,3,2,2,2019,11,1950
"shihlin",26250000,10.71,"Reinforced concrete construction",102.56,3,2,1,2019,11,1933
