"district","total_ntd","land_area","main_building_material","building_area","num_room","num_hall","num_toilet","transaction_year","transaction_month","building_age","mlr_resid"
"Zhongzheng District",33360000,48,"Strengthen brickwork",136.98,5,2,2,2019,10,1962,604.760265229983
"Zhongzheng District",32800000,29,"Strengthen brickwork",147.79,5,2,2,2019,10,1947,205.414698177733
"Wenshan District",12000000,41.75,"Strengthen brickwork",120,5,1,2,2019,10,1958,-69.3357147786302
"Zhongshan Area",12800000,27.58,"Strengthen brickwork",97.15,5,3,2,2019,10,1950,-4.61130850655337
"Datong District",25660000,53.75,"Strengthen brickwork",126.82,5,2,2,2019,10,1959,340.871225685992
"Zhongzheng District",16800000,26.1,"Strengthen brickwork",97.68,5,1,2,2019,10,1945,-178.248736926825
"Songshan District",24250000,57,"Strengthen brickwork",168.26,5,2,3,2019,10,1958,-429.079503180552
"Beitou",18200000,36.93,"Strengthen brickwork",146.96,5,3,3,2019,11,1945,-888.811069455661
"Neihu District",14500000,31.52,"Strengthen brickwork",85.06,5,3,3,2019,11,1943.285714,346.500909713342
"Neihu District",11880000,32,"Strengthen brickwork",100.27,5,2,2,2019,11,1955.6,-80.5159909321429
"Songshan District",33000000,56.75,"Strengthen brickwork",173.65,5,2,2,2019,12,1959,318.647337001839
"shihlin",11500000,21.98,"Strengthen brickwork",81.32,5,1,2,2019,10,1950,583.029424720758
"Wenshan District",6300000,37.48,"Strengthen brickwork",32.26,5,3,2,2019,10,1951,599.217497757736
"shihlin",14680000,58.83,"Strengthen brickwork",130.08,5,3,2,2019,9,1942,-432.878083259705
"Zhongshan Area",21580000,49.31,"Strengthen brickwork",160.74,5,2,3,2019,11,1942,-322.814621187615
"Zhongzheng District",38000000,28.62,"Strengthen brickwork",142.71,5,2,3,2019,11,1939.631579,665.343652054136
"Xinyi District",13500000,35.45,"Strengthen brickwork",120.6,5,2,2,2019,11,1948,-435.759182106081
"Songshan District",19500000,39,"Strengthen brickwork",110.66,5,2,3,2019,10,1955,333.546533065432
"Datong District",23400000,9.87,"Strengthen brickwork",124.36,5,2,2,2019,11,1943,66.1726150803443
"Daan District",15300000,37.75,"Strengthen brickwork",109.2,5,0,2,2019,12,1957,654.52926340551
