"district","total_ntd","land_area","main_building_material","building_area","num_room","num_hall","num_toilet","transaction_year","transaction_month","building_age","mlr_resid"
"Zhongzheng District",33360000,48,"Strengthen brickwork",136.98,5,2,2,2019,10,1962,486.559676502266
"Zhongzheng District",32800000,29,"Strengthen brickwork",147.79,5,2,2,2019,10,1947,188.863040851979
"Wenshan District",12000000,41.75,"Strengthen brickwork",120,5,1,2,2019,10,1958,-197.031627743776
"Zhongshan Area",12800000,27.58,"Strengthen brickwork",97.15,5,3,2,2019,10,1950,-59.83322379481
"Datong District",25660000,53.75,"Strengthen brickwork",126.82,5,2,2,2019,10,1959,250.120879898105
"Zhongzheng District",16800000,26.1,"Strengthen brickwork",97.68,5,1,2,2019,10,1945,-143.192798050172
"Songshan District",24250000,57,"Strengthen brickwork",168.26,5,2,3,2019,10,1958,-508.978736956749
"Neihu District",14500000,31.52,"Strengthen brickwork",85.06,5,3,3,2019,11,1943.285714,289.205552997556
"Neihu District",11880000,32,"Strengthen brickwork",100.27,5,2,2,2019,11,1955.6,-282.109881563178
"Songshan District",33000000,56.75,"Strengthen brickwork",173.65,5,2,2,2019,12,1959,228.693853278135
"shihlin",11500000,21.98,"Strengthen brickwork",81.32,5,1,2,2019,10,1950,525.995063553057
"Wenshan District",6300000,37.48,"Strengthen brickwork",32.26,5,3,2,2019,10,1951,596.497479719155
"shihlin",14680000,58.83,"Strengthen brickwork",130.08,5,3,2,2019,9,1942,-332.469819799842
"Zhongshan Area",21580000,49.31,"Strengthen brickwork",160.74,5,2,3,2019,11,1942,-265.924966239916
"Zhongzheng District",38000000,28.62,"Strengthen brickwork",142.71,5,2,3,2019,11,1939.631579,735.720437620002
"Xinyi District",13500000,35.45,"Strengthen brickwork",120.6,5,2,2,2019,11,1948,-431.455488435842
"Songshan District",19500000,39,"Strengthen brickwork",110.66,5,2,3,2019,10,1955,274.792482815943
"Datong District",23400000,9.87,"Strengthen brickwork",124.36,5,2,2,2019,11,1943,26.0516708988107
"Beitou",17700000,33,"Strengthen brickwork",91.8,5,3,3,2019,12,1952,290.373483432669
"Neihu District",8880000,21.25,"See other registration items",77,5,3,2,2019,10,1955.6,-27.7987385218893
"Nangang District",20000000,51.5,"Strengthen brickwork",102.05,5,3,2,2019,10,1960,81.9674537845171
"Zhongshan Area",7800000,34.4,"Strengthen brickwork",104.69,5,1,3,2019,11,1950,-745.919253117902
"Nangang District",24100000,42.62,"Strengthen brickwork",103.75,5,2,1,2019,12,1955.176471,661.130244507808
"Beitou",23500000,42.27,"Strengthen brickwork",162.73,5,1,2,2019,11,1943,-337.919173539854
"shihlin",13450000,29.04,"Strengthen brickwork",116.5,5,3,3,2019,11,1945.885714,-292.898966441301
"Daan District",9500000,41,"Strengthen brickwork",108.83,4,2,1,2019,9,1953,-466.450579763648
"Xinyi District",13500000,25.19,"Strengthen brickwork",101.9,4,2,2,2019,9,1947,-108.895405558823
"Nangang District",29000000,31.67,"Strengthen brickwork",141.97,4,2,2,2019,10,1943,130.629100738827
"shihlin",15800000,37.67,"Strengthen brickwork",129.16,4,2,2,2019,9,1938,-175.912669941515
"Zhongzheng District",27300000,36.92,"Strengthen brickwork",138.13,4,2,2,2019,10,1943,-150.32662468478
"Nangang District",24500000,58.75,"Strengthen brickwork",162.38,4,2,1,2019,10,1958.666667,-660.446110192018
"Beitou",11000000,13.77,"Wall type reinforced concrete construction",65.75,4,2,2,2019,9,1933,-6.69686528453894e-13
"Songshan District",27330000,28.34,"Strengthen brickwork",150.56,4,2,2,2019,10,1947,125.347552809165
"Daan District",17500000,53.87,"Strengthen brickwork",134.39,4,2,2,2019,10,1953,47.8293295475327
"shihlin",14380000,29.48,"Strengthen brickwork",105.69,4,0,3,2019,8,1950,413.280102373628
"Wanhua District",7000000,15.2,"Strengthen brickwork",50.16,4,2,2,2019,10,1954,96.3892539790057
"Zhongzheng District",38000000,37.56,"Strengthen brickwork",199.33,4,2,3,2019,10,1936.9,-659.373581863236
"Zhongzheng District",43000000,14.95,"Strengthen brickwork",150.22,4,2,2,2019,8,1945,840.768767085263
"Xinyi District",13080000,36.25,"Strengthen brickwork",106.7,4,2,1,2019,10,1954.02,-203.848167855896
"Nangang District",34680000,34.27,"Strengthen brickwork",132.99,4,2,2,2019,10,1940,845.157140307544
"Songshan District",14300000,18.67,"Strengthen brickwork",99.18,4,2,2,2019,10,1952,-156.550114636263
"Zhongshan Area",14800000,35.63,"Strengthen brickwork",116.47,4,1,3,2019,10,1949,-31.9753562531056
"shihlin",12800000,44.88,"Strengthen brickwork",96.49,4,2,2,2019,10,1958,219.71059524349
"Nangang District",40360000,37.65,"Strengthen brickwork",180.56,4,2,3,2019,10,1954,198.549347128085
"Nangang District",17800000,28.2,"Strengthen brickwork",95.59,4,3,2,2019,9,1949.318182,-115.958631366176
"Zhongzheng District",30000000,42.75,"Strengthen brickwork",101.13,4,2,2,2019,10,1960.071429,983.344788601464
"Zhongzheng District",30690000,25.42,"Strengthen brickwork",146.25,4,2,2,2019,8,1936.9,-66.5790855206931
"Nangang District",23500000,26.38,"Strengthen brickwork",130.82,4,2,2,2019,6,1950,-178.266736367036
"Songshan District",38800000,17.8,"Strengthen brickwork",177.87,4,2,2,2019,10,1944,468.845491005621
"Zhongzheng District",46380000,36.79,"Strengthen brickwork",195.27,4,2,2,2019,9,1946,115.392035002623
"Daan District",3280000,22.54,"Strengthen brickwork",85.06,4,2,1,2019,10,1949,-1233.27372219293
"Daan District",17300000,34,"See other registration items",76.92,4,2,2,2019,10,1960,240.162573014483
"Zhongshan Area",13500000,30.2,"Strengthen brickwork",103.2,4,1,2,2019,11,1950,128.588929118921
"Zhongshan Area",15600000,35.35,"Strengthen brickwork",108.83,4,2,3,2019,11,1947,108.987962338114
"Zhongzheng District",16000000,32.25,"Strengthen brickwork",90.11,4,3,2,2019,10,1960.071429,-406.336999739292
"Nangang District",35300000,62.88,"Strengthen brickwork",145.44,4,2,1,2019,10,1956,729.348033258117
"Beitou",15200000,32,"Strengthen brickwork",86.4,4,1,2,2019,6,1956.675,338.198197573755
"Wanhua District",18000000,48.67,"See other registration items",143.04,4,2,2,2019,10,1963,-105.328470740071
"Neihu District",17380000,36.5,"Strengthen brickwork",95.76,4,2,2,2019,8,1945,488.508954689786
"Wenshan District",9480000,27,"Reinforced concrete construction",66.63,4,2,3,2019,10,1952,2.83494117070404e-10
"Zhongzheng District",43000000,43.08,"Strengthen brickwork",172.22,4,2,2,2019,10,1957,423.785003913638
"Zhongzheng District",43100000,35,"Strengthen brickwork",188.14,4,2,2,2019,10,1946,35.38288701815
"Nangang District",15880000,34.75,"Strengthen brickwork",98.5,4,3,2,2019,11,1956,-384.607001140518
"Zhongshan Area",16000000,33.5,"Strengthen brickwork",117.95,4,1,2,2019,10,1943,111.291336889463
"Nangang District",36880000,28.68,"Strengthen brickwork",147.77,4,2,2,2019,10,1951,684.218155927197
"Zhongzheng District",35200000,35.36,"Strengthen brickwork",145.01,4,2,2,2019,10,1945,397.054119467897
"Songshan District",23750000,17.65,"Strengthen brickwork",148.14,4,2,2,2019,10,1942,-203.800145524295
"Zhongshan Area",17500000,35.35,"Strengthen brickwork",109.04,4,2,2,2019,11,1947,372.559461964207
"shihlin",18500000,29.55,"Strengthen brickwork",128.65,4,2,2,2019,11,1930,145.986438146861
"Datong District",23000000,48.6,"Strengthen brickwork",149.34,4,2,2,2019,10,1948,-588.52641630924
"Zhongzheng District",25000000,30.2,"Strengthen brickwork",131.3,4,2,2,2019,10,1946.190476,-231.657980861751
"Songshan District",15000000,27.75,"Strengthen brickwork",97.52,4,2,2,2019,11,1954,2.45704354026693
"Xinyi District",31200000,29.13,"Strengthen brickwork",144.34,4,2,2,2019,10,1945,838.007040663686
"Xinyi District",8000000,11.31,"Strengthen brickwork",55.7,4,2,2,2019,8,1947,70.3981020445627
"Xinyi District",16080000,34.71,"Strengthen brickwork",120.28,4,2,2,2019,10,1949,-166.239609604791
"Zhongzheng District",20660000,28.84,"Strengthen brickwork",105.09,4,2,1,2019,11,1947,-44.9575682446741
"Zhongshan Area",30000000,56.76,"Strengthen brickwork",192.06,4,2,2,2019,11,1937,-202.372347005588
"shihlin",12680000,27.26,"Strengthen brickwork",93.31,4,0,3,2019,11,1945.885714,474.352745514621
"Songshan District",34500000,21.41,"Strengthen brickwork",196.57,4,2,2,2019,11,1941,-305.68698229079
"Nangang District",35800000,25.65,"Strengthen brickwork",146.98,4,2,3,2019,11,1948.384615,573.709169161549
"Xinyi District",9580000,31,"Strengthen brickwork",91.62,4,2,2,2019,11,1954,-420.225469888859
"Zhongzheng District",39000000,33.55,"Strengthen brickwork",159.57,4,2,2,2019,10,1939.631579,364.596321585695
"Songshan District",21800000,42.5,"Strengthen brickwork",121.34,4,2,2,2019,10,1955,281.398874479296
"shihlin",17500000,46.07,"Strengthen brickwork",134.89,4,2,2,2019,11,1945,-62.3142715416788
"Datong District",23880000,27.36,"Strengthen brickwork",84.83,4,2,3,2019,11,1956,913.978338060555
"Xinyi District",22000000,37.45,"Strengthen brickwork",139.32,4,2,2,2019,10,1944,77.9452277948181
"Xinyi District",20800000,36.34,"Strengthen brickwork",135.14,4,2,2,2019,11,1943,46.2933099188194
"Xinyi District",21500000,34.96,"Strengthen brickwork",118.25,4,2,2,2019,8,1947.861111,496.336560359443
"Zhongshan Area",9000000,20.95,"Strengthen brickwork",92.26,4,2,2,2019,11,1936,-468.837244327961
"Beitou",9000000,30.75,"Strengthen brickwork",73.79,4,1,1,2019,9,1956.675,-222.262191860489
"Neihu District",7820000,22,"See other registration items",77,4,2,2,2019,11,1955.6,-103.004335304472
"shihlin",14000000,42,"See other registration items",101.15,4,2,2,2019,11,1956.9375,91.9529509126381
"Xinyi District",22500000,27.94,"Strengthen brickwork",113.69,4,2,2,2019,11,1947.861111,706.77703513316
"Neihu District",25500000,17.41,"Strengthen brickwork",126.41,4,2,2,2019,10,1924.5,609.454377911224
"Daan District",15800000,49.61,"Strengthen brickwork",146.12,4,3,2,2019,10,1951,-583.5819286529
"Nangang District",20200000,36.5,"Strengthen brickwork",90.88,4,2,2,2019,10,1955.176471,439.299817880271
"Xinyi District",12750000,23.23,"Strengthen brickwork",91.65,4,1,3,2019,12,1948,141.599274723603
"Datong District",15600000,31.6,"Strengthen brickwork",119.76,4,2,1,2019,10,1945,-762.601811763274
"shihlin",13500000,42.78,"Strengthen brickwork",111.4,4,2,2,2019,11,1956.9375,-28.0289408945848
"shihlin",14500000,39.13,"Strengthen brickwork",127.19,4,2,2,2019,11,1949,-273.92184931599
"Wanhua District",19700000,17.2,"Strengthen brickwork",148.34,4,2,2,2019,11,1945,-370.475666022895
"Daan District",11500000,37.25,"Strengthen brickwork",140.96,4,2,3,2019,11,1952,-966.769325474696
"Nangang District",16880000,23,"Strengthen brickwork",68.48,4,3,2,2019,12,1957,407.98992188405
"Zhongshan Area",10800000,33.04,"Strengthen brickwork",87.68,4,3,1,2019,11,1943,-147.154863223828
"Xinyi District",24000000,38.72,"Strengthen brickwork",145.23,4,2,2,2019,12,1944,164.112538949288
"Beitou",36500000,26.25,"Strengthen brickwork",157,4,2,2,2019,12,1943,719.916941593054
"Nangang District",28600000,38.67,"Strengthen brickwork",156.9,4,2,2,2019,11,1942.75,-228.349182406928
"Songshan District",27200000,29.57,"Strengthen brickwork",142.04,4,2,2,2019,9,1946,306.039171899758
"Nangang District",21731688,28.47,"Strengthen brickwork",155.97,4,2,2,2019,12,1950,-906.590575332145
"Beitou",19800000,15.07,"Strengthen brickwork",75.55,4,2,2,2019,7,1938.125,946.538398705771
"Beitou",19500000,25.4,"Strengthen brickwork",117.83,4,2,2,2019,11,1948,-6.36739300743965
"Zhongshan Area",15000000,39.11,"Strengthen brickwork",105.46,4,2,2,2019,12,1951,162.697168918953
"Xinyi District",13800000,26,"Strengthen brickwork",97.23,4,3,3,2019,6,1946,-150.951476082363
"Xinyi District",24250000,30.64,"Strengthen brickwork",143.14,4,2,2,2019,11,1946,214.276056636583
